filename,label,speaker,gender,duration,hnr,f0globalMean,f0globalSD,avgPauseLength,sound2silenceRatio,totalPauses
b49,n,B,m,2.025625,-16.23304238078199,58.6322763081081,30.93222018530021,950.0,21.0,4
b5,n,B,m,2.1513125,-49.922247284375345,66.17188402112674,41.06570995567733,650.0,33.07692307692308,4
b50,n,B,m,1.56375,-34.70466583794748,85.86920722784802,66.258733702564,750.0,20.733333333333334,4
b52,n,B,m,1.942375,-51.94153875120198,105.26990762666665,58.12373869907681,466.6666666666667,18.095238095238095,9
b61_I,i,B,m,2.033625,-46.321925604321585,91.24551592258068,46.1782455619151,866.6666666666666,15.153846153846153,6
b65,n,B,m,1.87825,-60.345328975560115,84.37731187837828,42.682006280034784,733.3333333333333,7.840909090909091,12
b68_I,i,B,m,1.49425,4.789142450350554,117.83363287500008,24.845542004886102,1000.0,19.8,3
b73_I,i,B,m,1.9578125,-41.14320307599275,81.82133620261436,44.441761203101215,600.0,14.0,9
b88_I,i,B,m,1.957625,-18.95079478100362,79.67288602083335,47.11889614402232,800.0,32.75,3
b90_I,i,B,m,1.5778125,-47.72597939789241,98.68817346551728,54.15152798179771,640.0,19.5625,5
g10,n,G,f,2.2211875,-27.143207985650026,195.6821988837209,128.05721275892026,1400.0,31.642857142857142,2
g13_I,i,G,f,2.6249375,-45.72581287933216,252.0063827200002,157.70881571259594,600.0,34.86666666666667,5
g17_I,i,G,f,2.653625,-42.07991231946847,332.04358793902475,214.3265594339606,1100.0,48.45454545454545,2
g18_I,i,G,f,1.3994375,-46.79044317140011,229.5534894040405,129.6723136794617,866.6666666666666,21.53846153846154,3
g21_I,i,G,f,1.25,-49.09312012571135,267.6595401111112,180.0226266828959,1200.0,13.61111111111111,3
g22,n,G,f,1.3706875,-68.57637714318025,243.67312519801985,133.66811401385013,900.0,30.88888888888889,2
g24_I,i,G,f,2.878875,-64.38551721717496,230.40611118285716,146.88862167801125,1100.0,52.54545454545455,2
g26_I,i,G,f,2.2185,-54.00748985993953,231.99892873333337,164.01100825593576,525.0,20.761904761904763,8
g27_I,i,G,f,2.7468125,-29.133405012083298,230.35487651204846,149.7345844457754,650.0,42.23076923076923,4
g28_I,i,G,f,1.7951875,-60.49678106737303,222.82539994262288,130.26010203941928,933.3333333333334,25.571428571428573,3
g29,n,G,f,1.492,-99.96645878982163,199.72428188372092,133.20008355887836,700.0,21.214285714285715,4
g3,n,G,f,2.5425625,-47.543399527102046,192.90920792307708,114.67461150830141,919.9999999999999,21.695652173913043,5
g43,n,G,f,1.556125,-46.44543655377745,234.4606879484537,144.9649304724828,866.6666666666666,23.923076923076923,3
g44,n,G,f,1.8815,-76.62934198959401,212.82851890526314,149.78428686550134,700.0,12.892857142857142,8
g49,n,G,f,2.2956875,-47.84168331419956,190.8882965783783,91.5816226247406,950.0,23.842105263157894,4
g50,n,G,f,1.740625,-80.87743614416429,178.1830560916666,108.8729843059596,800.0,21.5625,4
g56,n,G,f,1.7138125,-168.6797902833577,164.34394529411767,156.36455457498747,657.1428571428571,14.478260869565217,7
g58_I,i,G,f,2.5885,-14.443768385273026,251.34897117801043,135.73736476732637,640.0,32.1875,5
g5_I,i,G,f,1.246,-51.835678283968974,183.9983337820512,122.4652673255768,650.0,19.153846153846153,4
g64_I,i,G,f,1.4825625,-33.274583266425275,236.9509493168317,141.17123356498612,750.0,19.666666666666668,4
g65,n,G,f,2.2738125,-32.20885719258071,192.45397818877532,88.60514964304407,850.0,26.529411764705884,4
g65B,n,G,f,1.5516875,-51.948563739338226,173.41650202999995,105.25033299672307,800.0,19.1875,4
g68,n,G,f,2.246625,-31.48889122303092,267.5141600118343,140.05327039652687,733.3333333333333,41.0,3
g82_I,i,G,f,1.345625,-24.401808978466732,246.87363805319163,140.77591775145052,1200.0,22.5,2
g83_I,i,G,f,1.36675,-23.615234587904727,194.4738625483869,110.67994394148445,1000.0,27.6,2
g86,n,G,f,1.5305625,-86.89144211444763,163.3672610224719,112.52641138467568,1100.0,28.0,2
g90,n,G,f,2.358625,-34.09435782260584,308.8315137659574,203.05012304201486,366.66666666666663,43.09090909090909,6
g94_I,i,G,f,1.3601875,-27.937075154659553,228.2947391414141,131.03502617729222,533.3333333333333,34.625,3
g95,n,G,f,2.2370625,-47.35453538871709,208.1796444431139,111.8858139276137,866.6666666666666,34.38461538461539,3
g96_I,i,G,f,2.660625,-39.92207711938476,172.55755088461552,104.49019331283635,800.0,33.0625,4
p105_I,i,P,f,2.18225,-96.03637522465698,142.18060392771082,121.08342626495514,560.0,31.071428571428573,5
p111,n,P,f,2.1475625,-101.54823611171149,188.21635806172844,153.41768885918475,500.0,28.533333333333335,6
p112_I,i,P,f,1.8099375,-61.173364572261285,162.49656466666673,109.82887985365505,800.0,22.4375,4
p114,n,P,f,1.6571875,-85.99996008115485,179.40391979012344,128.18076660592953,800.0,20.5,4
p115,n,P,f,1.7255,-73.92899551022526,138.99442758904104,88.49932098875395,600.0,22.866666666666667,5
p12,n,P,f,1.6685625,-83.18528112213755,182.41689810909077,146.6580628443002,566.6666666666666,19.41176470588235,6
p144_I,i,P,f,2.06275,-54.012480272216486,199.40080808088254,141.1995266845201,866.6666666666666,31.76923076923077,3
p145,n,P,f,1.91325,-21.434480757303785,186.5793651935484,120.10353089521716,1300.0,29.46153846153846,2
p147_I,i,P,f,1.06125,-44.514250064243974,100.1215766851852,96.94581423107238,1200.0,17.75,2
p163_I,i,P,f,1.0516875,-26.998421167085308,136.00587712500004,80.07625093184022,600.0,23.77777777777778,3
p2,n,P,f,1.49975,-65.19078246018087,139.22686500000003,110.31618155116304,1066.6666666666665,18.5625,3
p24_I,i,P,f,2.141,-79.73509159812885,218.06222014743602,126.70015331100832,866.6666666666666,32.92307692307692,3
p25_I,i,P,f,2.2395625,-69.68584501261141,153.08370460759497,108.4923209639061,500.0,22.05,8
p26_I,i,P,f,2.93225,-113.22032491160101,136.50629743396235,90.82633294787816,800.0,48.916666666666664,3
p33_I,i,P,f,2.108375,-33.19702670584745,207.42752769600014,149.89246392592895,1000.0,42.5,2
p34_I,i,P,f,2.1744375,-38.08452253251532,187.7061190451611,115.41344829609287,1300.0,33.46153846153846,2
p37,n,P,f,2.042375,-55.92379532107825,247.76626263309342,154.6548806505797,1200.0,34.083333333333336,2
p42,n,P,f,1.9651875,-31.294960475960554,285.48251571323516,166.02868360868172,800.0,49.75,2
p46_I,i,P,f,2.177625,-120.96715302786713,156.32299228301895,122.39143146072259,600.0,13.966666666666667,10
p51_I,i,P,f,1.212125,-29.150865087202934,148.72791355384618,127.51476568768497,1000.0,24.5,2
p6,n,P,f,1.9363125,-40.25339626005594,132.5191334333333,100.55078835493958,560.0,27.571428571428573,5
p60_I,i,P,f,1.29175,-73.06522759111068,176.64003665384624,138.34491145335224,600.0,29.11111111111111,3
p75,n,P,f,1.662625,-22.01768082361777,206.09153164827578,73.5305822081238,1100.0,30.454545454545453,2
p81,n,P,f,1.7319375,-71.8361863183403,224.71338205645168,139.11135861880072,560.0,24.642857142857142,5
p88,n,P,f,1.4053125,-39.13565324144208,207.15324003370787,126.28097361073769,600.0,23.5,4
p8_I,i,P,f,1.1641875,-72.17095058180973,234.3871484761904,160.16032033962898,700.0,16.571428571428573,4
p91,n,P,f,1.8770625,-72.12637126618849,181.85859005263174,117.11170781986452,400.0,18.4,10
p93,n,P,f,1.81775,-72.7213426146851,208.0335018173077,143.16377328365203,800.0,30.416666666666668,3
p94,n,P,f,1.6890625,-74.86747001762282,204.26742054929582,156.71076302194888,450.0,38.0,4
p95_I,i,P,f,1.103125,-36.76894511438857,102.53207839506177,77.36303494457549,1100.0,20.272727272727273,2
r104_I,i,R,nb,2.3505625,-28.16163293156798,174.42245130167595,92.69860105748165,800.0,29.1875,4
r109,n,R,nb,1.2938125,-8.238041047280989,250.1022920917432,98.61067114982338,1300.0,19.923076923076923,2
r11,n,R,nb,2.029625,-103.68453940252061,253.20632400000005,194.25362568437,550.0,18.045454545454547,8
r122_I,i,R,nb,2.9465625,-45.30668294661708,186.33623733944953,96.88274258629578,700.0,27.666666666666668,6
r127_I,i,R,nb,1.342375,-77.8335543673124,133.7114747375,94.56057788805735,628.5714285714286,11.772727272727273,7
r133,n,R,nb,2.42425,-54.18217483273299,156.946132757764,100.99125906130374,571.4285714285714,23.9,7
r134_I,i,R,nb,1.60725,-68.35558814182902,154.18561944444434,113.9714124812679,733.3333333333333,9.121212121212121,9
r135_I,i,R,nb,2.394,-56.58055567229503,168.50019655952377,96.70925838641426,600.0,22.428571428571427,7
r13_I,i,R,nb,1.96375,-59.763050721985074,241.03338695967747,158.56786533582945,600.0,44.111111111111114,3
r150,n,R,nb,1.4164375,-45.56459786551348,183.85187898039212,100.9888567428777,566.6666666666666,16.41176470588235,6
r17_I,i,R,nb,2.2014375,-67.15864645365957,183.96795857718126,119.90396081304853,720.0,24.166666666666668,5
r199,n,R,nb,1.2173125,-17.912853970585783,210.10677440196073,81.57668633161354,1200.0,20.333333333333332,2
r231,n,R,nb,1.7649375,-65.54606145555172,124.75383093388439,84.62440307180327,866.6666666666666,27.153846153846153,3
r23_I,i,R,nb,3.6063125,-37.81641271961411,175.53469536398447,96.34032442687216,480.0,29.583333333333332,10
r253,n,R,nb,2.150875,-47.2857843543438,189.13586725433532,115.69467492743034,520.0,33.07692307692308,5
r266_I,i,R,nb,2.0159375,-47.182941013764854,240.9477014242425,146.43500541395665,1200.0,33.666666666666664,2
r278,n,R,nb,2.1873125,-55.1517049175895,186.12634060256397,105.504603862206,1200.0,36.5,2
r282,n,R,nb,1.91325,-57.73100836315977,197.61510303333336,131.7112378851558,1520.0,9.421052631578947,5
r283_I,i,R,nb,2.361625,-48.083281764705,184.41851195,110.7393684563523,600.0,52.888888888888886,3
r284,n,R,nb,1.988,-69.80972258251545,226.89356464754115,146.38326009757503,1300.0,30.615384615384617,2
r300_I,i,R,nb,1.0763125,-69.81871204960281,186.59434266666676,132.2190406054203,1000.0,21.8,2
r46B_I,i,R,nb,1.0205,-55.46271211930693,184.98645368253963,114.97720932529269,750.0,13.466666666666667,4
r47,n,R,nb,1.3451875,-27.201778911071926,174.05050874999984,84.00027610707326,850.0,15.588235294117647,4
r60,n,R,nb,1.5073125,-69.28286517892931,165.34614453684202,102.95033351415917,1100.0,27.545454545454547,2
r7,n,R,nb,1.60075,-77.95534977887856,160.57653472222216,108.64807347412486,533.3333333333333,19.8125,6
r70,n,R,nb,1.582875,-87.84664787470857,161.84448386486486,120.56640804487415,850.0,18.41176470588235,4
r80_I,i,R,nb,1.4455625,-50.4685778164692,171.23608614159286,108.43710472189531,700.0,20.571428571428573,4
r83_I,i,R,nb,3.0990625,-49.07528756378216,207.97785207692309,127.19671820196129,633.3333333333333,32.31578947368421,6
r84_I,i,R,nb,0.8975625,-49.56891422493583,225.3211272,127.04178607473528,733.3333333333333,16.545454545454547,3
r96,n,R,nb,2.5926875,-59.65261639993251,287.46180017058816,176.40470434522362,1200.0,28.555555555555557,3
y10_I,i,Y,m,1.0045,-51.20753467147536,187.9578313770492,116.71919321254421,1200.0,16.833333333333332,2
y17_I,i,Y,m,1.487125,-121.46554196609036,80.62204774074074,62.24459925818155,1025.0,6.560975609756097,8
y20,n,Y,m,1.4699375,-60.89019295299966,178.31290109278342,109.19391108706924,880.0,12.954545454545455,5
y21,n,Y,m,1.222625,-96.82556024789962,103.87708646341466,87.42786759849064,650.0,18.846153846153847,4
y23_I,i,Y,m,1.0736875,-58.420595595234325,143.93530036507937,95.60497417863586,1300.0,16.53846153846154,2
y26_I,i,Y,m,1.707125,-41.20115869616034,158.4931011212121,74.68819030884534,800.0,28.5,3
y28_I,i,Y,m,2.67575,-31.357478758780946,113.75216570707072,64.1491200460303,500.0,35.53333333333333,6
y29_I,i,Y,m,1.93225,-52.44906828536015,119.73679655714295,65.84610573459037,1100.0,35.27272727272727,2
y31,n,Y,m,1.8171875,-32.07810343831928,121.61422126315797,49.21157906148362,1333.3333333333333,17.8,3
y34_I,i,Y,m,2.5926875,-93.19532199629008,99.74867353216378,64.31682850492163,800.0,32.25,4
y35_I,i,Y,m,0.7215,-98.45837339644106,143.4920111515152,105.43734530070927,566.6666666666666,8.235294117647058,6
y3_I,i,Y,m,1.498,-58.60473656185436,97.429203202381,70.19645816366513,1300.0,23.076923076923077,2
y4,n,Y,m,1.463,-57.42079120128896,109.3447752758621,72.72148150836993,520.0,22.53846153846154,5
y48_I,i,Y,m,1.3065,-32.592032938157516,97.46003663157897,75.81195165558505,900.0,29.444444444444443,2
y50,n,Y,m,1.7319375,-55.984308673008,125.6610934224138,72.07964694314774,628.5714285714286,15.318181818181818,7
y59,n,Y,m,2.08425,-90.91953696025162,121.36381728301886,89.64073907049098,1300.0,32.07692307692308,2
y60_I,i,Y,m,2.8811875,-130.8806357255436,93.34241760919545,79.25352989360472,600.0,38.266666666666666,5
y62,n,Y,m,1.0151875,-27.363698538363163,118.53623375641025,59.728165292725826,1133.3333333333333,11.705882352941176,3
y64,n,Y,m,1.008,-47.12299559131071,99.58843544642863,72.83067615026111,1100.0,18.545454545454547,2
y65,n,Y,m,1.9104375,-75.90235985189067,67.08000117857144,52.24229953390771,640.0,23.6875,5
y66,n,Y,m,1.5566875,-72.60220018841234,82.84748243999996,62.06647107059479,700.0,22.142857142857142,4
y69,n,Y,m,1.598875,-107.79099514029838,119.62315300000003,73.37971010768614,485.71428571428567,18.58823529411765,7
y6_I,i,Y,m,0.973375,-88.2203111549763,145.18495978048782,109.62188470563245,1300.0,15.0,2
y78_I,i,Y,m,1.813625,-25.876698816905034,160.0353262649007,81.45324603302369,566.6666666666666,21.11764705882353,6
y79_I,i,Y,m,0.6925625,-163.88932088519064,115.314246037037,90.17794018975512,600.0,11.666666666666666,4
y7_I,i,Y,m,2.0604375,-63.1250070845822,119.17284906140348,87.49702966272514,542.8571428571429,21.36842105263158,7
y80,n,Y,m,1.8833125,-51.8017956305502,89.17736690196084,66.84659333225252,933.3333333333334,26.857142857142858,3
y86,n,Y,m,1.5244375,-64.66667954038665,147.18961800000005,110.23704794369705,600.0,34.333333333333336,3
y87,n,Y,m,1.7190625,-107.6141195288661,113.87777804109591,88.43116476861435,933.3333333333334,24.5,3
y9,n,Y,m,1.722375,-115.7246215637855,134.1780748636365,80.85321641325311,360.0,18.833333333333332,10
