0,1,2,3,4,5
audspec,lengthL1norm,sma,de,quartile3,pad
audspec,lengthL1norm,sma,de,iqr1-2,pad
audspec,lengthL1norm,sma,de,iqr2-3,pad
audspec,lengthL1norm,sma,de,iqr1-3,pad
audspec,lengthL1norm,sma,de,percentile1.0,pad
audspec,lengthL1norm,sma,de,percentile99.0,pad
audspec,lengthL1norm,sma,de,pctlrange0-1,pad
audspec,lengthL1norm,sma,de,stddev,pad
audspec,lengthL1norm,sma,de,skewness,pad
audspec,lengthL1norm,sma,de,kurtosis,pad
audspec,lengthL1norm,sma,de,meanSegLen,pad
audspec,lengthL1norm,sma,de,maxSegLen,pad
audspec,lengthL1norm,sma,de,minSegLen,pad
audspec,lengthL1norm,sma,de,segLenStddev,pad
audspec,lengthL1norm,sma,de,upleveltime25,pad
audspec,lengthL1norm,sma,de,upleveltime50,pad
audspec,lengthL1norm,sma,de,upleveltime75,pad
audspec,lengthL1norm,sma,de,upleveltime90,pad
audspec,lengthL1norm,sma,de,risetime,pad
audspec,lengthL1norm,sma,de,leftctime,pad
audspec,lengthL1norm,sma,de,lpgain,pad
audspec,lengthL1norm,sma,de,lpc0,pad
audspec,lengthL1norm,sma,de,lpc1,pad
audspec,lengthL1norm,sma,de,lpc2,pad
audspec,lengthL1norm,sma,de,lpc3,pad
audspec,lengthL1norm,sma,de,lpc4,pad
audspecRasta,lengthL1norm,sma,de,range,pad
audspecRasta,lengthL1norm,sma,de,maxPos,pad
audspecRasta,lengthL1norm,sma,de,minPos,pad
audspecRasta,lengthL1norm,sma,de,quartile1,pad
audspecRasta,lengthL1norm,sma,de,quartile2,pad
audspecRasta,lengthL1norm,sma,de,quartile3,pad
audspecRasta,lengthL1norm,sma,de,iqr1-2,pad
audspecRasta,lengthL1norm,sma,de,iqr2-3,pad
audspecRasta,lengthL1norm,sma,de,iqr1-3,pad
audspecRasta,lengthL1norm,sma,de,percentile1.0,pad
audspecRasta,lengthL1norm,sma,de,percentile99.0,pad
audspecRasta,lengthL1norm,sma,de,pctlrange0-1,pad
audspecRasta,lengthL1norm,sma,de,stddev,pad
audspecRasta,lengthL1norm,sma,de,skewness,pad
audspecRasta,lengthL1norm,sma,de,kurtosis,pad
audspecRasta,lengthL1norm,sma,de,meanSegLen,pad
audspecRasta,lengthL1norm,sma,de,maxSegLen,pad
audspecRasta,lengthL1norm,sma,de,minSegLen,pad
audspecRasta,lengthL1norm,sma,de,segLenStddev,pad
audspecRasta,lengthL1norm,sma,de,upleveltime25,pad
audspecRasta,lengthL1norm,sma,de,upleveltime50,pad
audspecRasta,lengthL1norm,sma,de,upleveltime75,pad
audspecRasta,lengthL1norm,sma,de,upleveltime90,pad
audspecRasta,lengthL1norm,sma,de,risetime,pad
audspecRasta,lengthL1norm,sma,de,leftctime,pad
audspecRasta,lengthL1norm,sma,de,lpgain,pad
audspecRasta,lengthL1norm,sma,de,lpc0,pad
audspecRasta,lengthL1norm,sma,de,lpc1,pad
audspecRasta,lengthL1norm,sma,de,lpc2,pad
audspecRasta,lengthL1norm,sma,de,lpc3,pad
audspecRasta,lengthL1norm,sma,de,lpc4,pad
pcm,RMSenergy,sma,de,range,pad
pcm,RMSenergy,sma,de,maxPos,pad
pcm,RMSenergy,sma,de,minPos,pad
pcm,RMSenergy,sma,de,quartile1,pad
pcm,RMSenergy,sma,de,quartile2,pad
pcm,RMSenergy,sma,de,quartile3,pad
pcm,RMSenergy,sma,de,iqr1-2,pad
pcm,RMSenergy,sma,de,iqr2-3,pad
pcm,RMSenergy,sma,de,iqr1-3,pad
pcm,RMSenergy,sma,de,percentile1.0,pad
pcm,RMSenergy,sma,de,percentile99.0,pad
pcm,RMSenergy,sma,de,pctlrange0-1,pad
pcm,RMSenergy,sma,de,stddev,pad
pcm,RMSenergy,sma,de,skewness,pad
pcm,RMSenergy,sma,de,kurtosis,pad
pcm,RMSenergy,sma,de,meanSegLen,pad
pcm,RMSenergy,sma,de,maxSegLen,pad
pcm,RMSenergy,sma,de,minSegLen,pad
pcm,RMSenergy,sma,de,segLenStddev,pad
pcm,RMSenergy,sma,de,upleveltime25,pad
pcm,RMSenergy,sma,de,upleveltime50,pad
pcm,RMSenergy,sma,de,upleveltime75,pad
pcm,RMSenergy,sma,de,upleveltime90,pad
pcm,RMSenergy,sma,de,risetime,pad
pcm,RMSenergy,sma,de,leftctime,pad
pcm,RMSenergy,sma,de,lpgain,pad
pcm,RMSenergy,sma,de,lpc0,pad
pcm,RMSenergy,sma,de,lpc1,pad
pcm,RMSenergy,sma,de,lpc2,pad
pcm,RMSenergy,sma,de,lpc3,pad
pcm,RMSenergy,sma,de,lpc4,pad
pcm,zcr,sma,de,range,pad
pcm,zcr,sma,de,maxPos,pad
pcm,zcr,sma,de,minPos,pad
pcm,zcr,sma,de,quartile1,pad
pcm,zcr,sma,de,quartile2,pad
pcm,zcr,sma,de,quartile3,pad
pcm,zcr,sma,de,iqr1-2,pad
pcm,zcr,sma,de,iqr2-3,pad
pcm,zcr,sma,de,iqr1-3,pad
pcm,zcr,sma,de,percentile1.0,pad
pcm,zcr,sma,de,percentile99.0,pad
pcm,zcr,sma,de,pctlrange0-1,pad
pcm,zcr,sma,de,stddev,pad
pcm,zcr,sma,de,skewness,pad
pcm,zcr,sma,de,kurtosis,pad
pcm,zcr,sma,de,meanSegLen,pad
pcm,zcr,sma,de,maxSegLen,pad
pcm,zcr,sma,de,minSegLen,pad
pcm,zcr,sma,de,segLenStddev,pad
pcm,zcr,sma,de,upleveltime25,pad
pcm,zcr,sma,de,upleveltime50,pad
pcm,zcr,sma,de,upleveltime75,pad
pcm,zcr,sma,de,upleveltime90,pad
pcm,zcr,sma,de,risetime,pad
pcm,zcr,sma,de,leftctime,pad
pcm,zcr,sma,de,lpgain,pad
pcm,zcr,sma,de,lpc0,pad
pcm,zcr,sma,de,lpc1,pad
pcm,zcr,sma,de,lpc2,pad
pcm,zcr,sma,de,lpc3,pad
pcm,zcr,sma,de,lpc4,pad
audSpec,Rfilt,sma[0],range,pad,pad
audSpec,Rfilt,sma[0],maxPos,pad,pad
audSpec,Rfilt,sma[0],minPos,pad,pad
audSpec,Rfilt,sma[0],quartile1,pad,pad
audSpec,Rfilt,sma[0],quartile2,pad,pad
audSpec,Rfilt,sma[0],quartile3,pad,pad
audSpec,Rfilt,sma[0],iqr1-2,pad,pad
audSpec,Rfilt,sma[0],iqr2-3,pad,pad
audSpec,Rfilt,sma[0],iqr1-3,pad,pad
audSpec,Rfilt,sma[0],percentile1.0,pad,pad
audSpec,Rfilt,sma[0],percentile99.0,pad,pad
audSpec,Rfilt,sma[0],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[0],stddev,pad,pad
audSpec,Rfilt,sma[0],skewness,pad,pad
audSpec,Rfilt,sma[0],kurtosis,pad,pad
audSpec,Rfilt,sma[0],meanSegLen,pad,pad
audSpec,Rfilt,sma[0],maxSegLen,pad,pad
audSpec,Rfilt,sma[0],minSegLen,pad,pad
audSpec,Rfilt,sma[0],segLenStddev,pad,pad
audSpec,Rfilt,sma[0],upleveltime25,pad,pad
audSpec,Rfilt,sma[0],upleveltime50,pad,pad
audSpec,Rfilt,sma[0],upleveltime75,pad,pad
audSpec,Rfilt,sma[0],upleveltime90,pad,pad
audSpec,Rfilt,sma[0],risetime,pad,pad
audSpec,Rfilt,sma[0],leftctime,pad,pad
audSpec,Rfilt,sma[0],lpgain,pad,pad
audSpec,Rfilt,sma[0],lpc0,pad,pad
audSpec,Rfilt,sma[0],lpc1,pad,pad
audSpec,Rfilt,sma[0],lpc2,pad,pad
audSpec,Rfilt,sma[0],lpc3,pad,pad
audSpec,Rfilt,sma[0],lpc4,pad,pad
audSpec,Rfilt,sma[1],range,pad,pad
audSpec,Rfilt,sma[1],maxPos,pad,pad
audSpec,Rfilt,sma[1],minPos,pad,pad
audSpec,Rfilt,sma[1],quartile1,pad,pad
audSpec,Rfilt,sma[1],quartile2,pad,pad
audSpec,Rfilt,sma[1],quartile3,pad,pad
audSpec,Rfilt,sma[1],iqr1-2,pad,pad
audSpec,Rfilt,sma[1],iqr2-3,pad,pad
audSpec,Rfilt,sma[1],iqr1-3,pad,pad
audSpec,Rfilt,sma[1],percentile1.0,pad,pad
audSpec,Rfilt,sma[1],percentile99.0,pad,pad
audSpec,Rfilt,sma[1],pctlrange0-1,pad,pad
audSpec,Rfilt,sma[1],stddev,pad,pad
audSpec,Rfilt,sma[1],skewness,pad,pad
audSpec,Rfilt,sma[1],kurtosis,pad,pad
audSpec,Rfilt,sma[1],meanSegLen,pad,pad
audSpec,Rfilt,sma[1],maxSegLen,pad,pad
audSpec,Rfilt,sma[1],minSegLen,pad,pad
audSpec,Rfilt,sma[1],segLenStddev,pad,pad
audSpec,Rfilt,sma[1],upleveltime25,pad,pad
audSpec,Rfilt,sma[1],upleveltime50,pad,pad
audSpec,Rfilt,sma[1],upleveltime75,pad,pad
audSpec,Rfilt,sma[1],upleveltime90,pad,pad
audSpec,Rfilt,sma[1],risetime,pad,pad
audSpec,Rfilt,sma[1],leftctime,pad,pad
audSpec,Rfilt,sma[1],lpgain,pad,pad
audSpec,Rfilt,sma[1],lpc0,pad,pad
audSpec,Rfilt,sma[1],lpc1,pad,pad
audSpec,Rfilt,sma[1],lpc2,pad,pad
audSpec,Rfilt,sma[1],lpc3,pad,pad
audSpec,Rfilt,sma[1],lpc4,pad,pad
audSpec,Rfilt,sma[2],range,pad,pad
audSpec,Rfilt,sma[2],maxPos,pad,pad
audSpec,Rfilt,sma[2],minPos,pad,pad
