Field1,Field2,Field3,Field4,Field5,Field6
pcm,RMSenergy,sma,de,percentile99.0,
pcm,RMSenergy,sma,de,pctlrange0-1,
pcm,RMSenergy,sma,de,stddev,
pcm,RMSenergy,sma,de,skewness,
pcm,RMSenergy,sma,de,kurtosis,
pcm,RMSenergy,sma,de,meanSegLen,
pcm,RMSenergy,sma,de,maxSegLen,
pcm,RMSenergy,sma,de,minSegLen,
pcm,RMSenergy,sma,de,segLenStddev,
pcm,RMSenergy,sma,de,upleveltime25,
pcm,RMSenergy,sma,de,upleveltime50,
pcm,RMSenergy,sma,de,upleveltime75,
pcm,RMSenergy,sma,de,upleveltime90,
pcm,RMSenergy,sma,de,risetime,
pcm,RMSenergy,sma,de,leftctime,
pcm,RMSenergy,sma,de,lpgain,
pcm,RMSenergy,sma,de,lpc0,
pcm,RMSenergy,sma,de,lpc1,
pcm,RMSenergy,sma,de,lpc2,
pcm,RMSenergy,sma,de,lpc3,
pcm,RMSenergy,sma,de,lpc4,
pcm,zcr,sma,de,range,
pcm,zcr,sma,de,maxPos,
pcm,zcr,sma,de,minPos,
pcm,zcr,sma,de,quartile1,
pcm,zcr,sma,de,quartile2,
pcm,zcr,sma,de,quartile3,
pcm,zcr,sma,de,iqr1-2,
pcm,zcr,sma,de,iqr2-3,
pcm,zcr,sma,de,iqr1-3,
pcm,zcr,sma,de,percentile1.0,
pcm,zcr,sma,de,percentile99.0,
pcm,zcr,sma,de,pctlrange0-1,
pcm,zcr,sma,de,stddev,
pcm,zcr,sma,de,skewness,
pcm,zcr,sma,de,kurtosis,
pcm,zcr,sma,de,meanSegLen,
pcm,zcr,sma,de,maxSegLen,
pcm,zcr,sma,de,minSegLen,
pcm,zcr,sma,de,segLenStddev,
pcm,zcr,sma,de,upleveltime25,
pcm,zcr,sma,de,upleveltime50,
pcm,zcr,sma,de,upleveltime75,
pcm,zcr,sma,de,upleveltime90,
pcm,zcr,sma,de,risetime,
pcm,zcr,sma,de,leftctime,
pcm,zcr,sma,de,lpgain,
pcm,zcr,sma,de,lpc0,
pcm,zcr,sma,de,lpc1,
pcm,zcr,sma,de,lpc2,
pcm,zcr,sma,de,lpc3,
pcm,zcr,sma,de,lpc4,
audSpec,Rfilt,sma[0],range,,
audSpec,Rfilt,sma[0],maxPos,,
audSpec,Rfilt,sma[0],minPos,,
audSpec,Rfilt,sma[0],quartile1,,
audSpec,Rfilt,sma[0],quartile2,,
audSpec,Rfilt,sma[0],quartile3,,
audSpec,Rfilt,sma[0],iqr1-2,,
audSpec,Rfilt,sma[0],iqr2-3,,
audSpec,Rfilt,sma[0],iqr1-3,,
audSpec,Rfilt,sma[0],percentile1.0,,
audSpec,Rfilt,sma[0],percentile99.0,,
audSpec,Rfilt,sma[0],pctlrange0-1,,
audSpec,Rfilt,sma[0],stddev,,
audSpec,Rfilt,sma[0],skewness,,
audSpec,Rfilt,sma[0],kurtosis,,
audSpec,Rfilt,sma[0],meanSegLen,,
audSpec,Rfilt,sma[0],maxSegLen,,
audSpec,Rfilt,sma[0],minSegLen,,
audSpec,Rfilt,sma[0],segLenStddev,,
audSpec,Rfilt,sma[0],upleveltime25,,
audSpec,Rfilt,sma[0],upleveltime50,,
audSpec,Rfilt,sma[0],upleveltime75,,
audSpec,Rfilt,sma[0],upleveltime90,,
audSpec,Rfilt,sma[0],risetime,,
audSpec,Rfilt,sma[0],leftctime,,
audSpec,Rfilt,sma[0],lpgain,,
audSpec,Rfilt,sma[0],lpc0,,
audSpec,Rfilt,sma[0],lpc1,,
audSpec,Rfilt,sma[0],lpc2,,
audSpec,Rfilt,sma[0],lpc3,,
audSpec,Rfilt,sma[0],lpc4,,
audSpec,Rfilt,sma[1],range,,
audSpec,Rfilt,sma[1],maxPos,,
audSpec,Rfilt,sma[1],minPos,,
audSpec,Rfilt,sma[1],quartile1,,
audSpec,Rfilt,sma[1],quartile2,,
audSpec,Rfilt,sma[1],quartile3,,
audSpec,Rfilt,sma[1],iqr1-2,,
audSpec,Rfilt,sma[1],iqr2-3,,
audSpec,Rfilt,sma[1],iqr1-3,,
audSpec,Rfilt,sma[1],percentile1.0,,
audSpec,Rfilt,sma[1],percentile99.0,,
audSpec,Rfilt,sma[1],pctlrange0-1,,
audSpec,Rfilt,sma[1],stddev,,
audSpec,Rfilt,sma[1],skewness,,
