inputID,measures,speakerDependentPrecision_N,speakerDependentPrecision_I,speakerDependentRecall_N,speakerDependentRecall_I,speakerDependentF1_N,speakerDependentF1_I,speakerDependentAccuracy,oldSplitPrecision_N,oldSplitPrecision_I,oldSplitRecall_N,oldSplitRecall_I,oldSplitF1_N,oldSplitF1_I,oldSplitAccuracy,newSplitPrecision_N,newSplitPrecision_I,newSplitRecall_N,newSplitRecall_I,newSplitF1_N,newSplitF1_I,newSplitAccuracy
PCs_percentChunks_text,hnr,0.66763149,0.69767888,0.71782092,0.63938109,0.68924604,0.66437228,0.6785957735869161,0.73239083,0.52771869,0.64202514,0.65346024,0.66587057,0.54990885,0.6351294867550507,0.68437033,0.60927476,0.65289708,0.62494962,0.64264794,0.58678893,0.6228891326302742
PCs_percentChunks_text,"hnr, mfcc",0.72385798,0.714721,0.70577154,0.72055764,0.70986854,0.71211307,0.7131784230645712,0.74525877,0.604536,0.75552636,0.628024,0.7348941,0.58860813,0.6979126792812506,0.7174141,0.64709438,0.68988835,0.67726574,0.70085817,0.65895529,0.6898808181077787
PCs_percentChunks_text,"hnr, plp",0.71089766,0.72911871,0.74020264,0.69788077,0.72480466,0.71262243,0.7190332142968138,0.73888322,0.61603755,0.76633633,0.61023563,0.73708461,0.58934624,0.7013928566945596,0.69967536,0.67223699,0.74020195,0.61464028,0.70437007,0.62661741,0.6768210169551874
PCs_percentChunks_text,"hnr, mfcc, plp",0.74045512,0.72640355,0.7115969,0.74401169,0.72110006,0.73110958,0.7278020076868092,0.76034473,0.587775,0.71746694,0.66651962,0.71957936,0.59489368,0.6950175192618882,0.69397705,0.68399035,0.77170595,0.59658573,0.72274534,0.62739872,0.6858985302523806
PCs_percentChunks_text,mfcc,0.70853863,0.73491883,0.75052079,0.69029875,0.72853847,0.71142145,0.7204068947451765,0.75341712,0.57864637,0.71991519,0.65229456,0.72850338,0.60046337,0.7034589186558976,0.70000558,0.64689761,0.70380889,0.63952412,0.6948659,0.6356819,0.6756088467985222
PCs_percentChunks_text,"mfcc, plp",0.73202764,0.73118364,0.72648177,0.71853127,0.72142447,0.71811373,0.7224708192800683,0.72761872,0.58960201,0.77595261,0.55645281,0.74254323,0.55603899,0.7035180788491964,0.70052396,0.65480493,0.7078587,0.63534042,0.70176993,0.64136746,0.6884727189928299
PCs_percentChunks_text,plp,0.73410643,0.73206018,0.72469258,0.731276,0.72512246,0.72769641,0.7279730887682903,0.74115662,0.60008951,0.74444061,0.64364286,0.72939159,0.59766179,0.695746476493485,0.70173981,0.68746942,0.767161,0.60850742,0.73133004,0.64251888,0.7027680739209461
PCs_percentChunks_text,f0,0.65194151,0.73747456,0.79352521,0.57396774,0.71485919,0.64344,0.6837567688762667,0.72195065,0.54543042,0.67828726,0.63553488,0.68220953,0.558543,0.6504326890425599,0.66650792,0.62116824,0.69909863,0.57621634,0.668252,0.58160319,0.6370400255727222
PCs_feats_percentChunks_text,"f0, hnr",0.67877025,0.70356266,0.71438626,0.65244,0.6913052,0.66873646,0.6834123868030776,0.72418216,0.55879813,0.72080949,0.59459974,0.71000196,0.55221309,0.6666952573811177,0.69862469,0.63374241,0.67885745,0.65083312,0.68447468,0.63725996,0.6723065388753622
PCs_feats_percentChunks_text,"f0, mfcc",0.73519614,0.74163359,0.74257383,0.72744291,0.73645453,0.73164839,0.7350325512836261,0.74387449,0.578867,0.7403543,0.61444082,0.72849441,0.57905097,0.6953937021617009,0.67932115,0.67265693,0.7614213,0.56724247,0.70518144,0.60019111,0.667193932062636
PCs_feats_percentChunks_text,"f0, plp",0.737472,0.72076194,0.70923103,0.74466171,0.72150312,0.73109038,0.7269423104529654,0.74516762,0.60639393,0.75252971,0.62712886,0.73205352,0.58936367,0.7009764747251118,0.71826587,0.66064432,0.71763125,0.67278649,0.71456103,0.66315142,0.6946189233553627
PCs_feats_percentChunks_text,"f0, hnr, mfcc",0.75416575,0.72535878,0.69998521,0.76154397,0.71833167,0.73782878,0.7307309572400893,0.7331966,0.57017202,0.7123874,0.61624201,0.71307106,0.57433026,0.6868648576601603,0.71846655,0.64046686,0.67007174,0.688711,0.68237318,0.654585,0.6754922022003125
PCs_feats_percentChunks_text,"f0, hnr, plp",0.70888947,0.74044712,0.75807442,0.684486,0.73106716,0.70905257,0.7212692558712925,0.71813176,0.57784358,0.76699153,0.55238424,0.72778153,0.54343052,0.6793522988091919,0.69833467,0.67352908,0.73732022,0.616102,0.70362356,0.62781166,0.6779359900024928
PCs_feats_percentChunks_text,hnr,0.70210859,0.67190327,0.63695311,0.72372435,0.66275255,0.69204548,0.6803132441324073,0.73531533,0.56568368,0.70738197,0.63326457,0.7059675,0.57093327,0.6752073269400211,0.68647883,0.62953244,0.68863627,0.61232526,0.66389999,0.59306779,0.6362803518348409
PCs_feats_percentChunks_text,"hnr, mfcc",0.71921087,0.73305552,0.73230122,0.702668,0.7198147,0.70975874,0.7174810530662139,0.73814382,0.60269177,0.77257049,0.58202277,0.74001979,0.56692123,0.7002732128935024,0.69527074,0.65237615,0.72402811,0.61903203,0.69481696,0.61879186,0.6637687697911536
PCs_feats_percentChunks_text,"hnr, plp",0.71933927,0.74397209,0.75289257,0.70025906,0.73270416,0.71736922,0.7266017762241695,0.73952155,0.60108589,0.76417695,0.61222,0.7397185,0.58611068,0.7017858618409173,0.69507584,0.67698226,0.76277728,0.60610933,0.7185721,0.62906358,0.6819974424857418
PCs_feats_percentChunks_text,"hnr, mfcc, plp",0.73530002,0.73849048,0.73432108,0.73017312,0.73053739,0.73111343,0.7322789746382657,0.75204034,0.59465061,0.72800758,0.65963163,0.72365369,0.60075026,0.6939394968700423,0.72210465,0.62928594,0.65288132,0.70511104,0.68509337,0.663812,0.6828330870094304
PCs_feats_percentChunks_text,mfcc,0.74125864,0.72199422,0.71024008,0.75085023,0.7248604,0.73563038,0.7305583962184571,0.74944916,0.61170773,0.7573848,0.65403411,0.74320966,0.61042791,0.7091687676444018,0.70559842,0.64188464,0.70011618,0.65243868,0.69831077,0.6427,0.6789164745821921
PCs_feats_percentChunks_text,"mfcc, plp",0.73091021,0.73783934,0.73533486,0.72162169,0.72873254,0.72463564,0.7284937317134895,0.73703981,0.61408596,0.75944118,0.61216734,0.7331928,0.58739267,0.698107885995353,0.71183402,0.64116037,0.67732754,0.66826862,0.6833822,0.64197826,0.6728538588201636
PCs_feats_percentChunks_text,plp,0.72622369,0.72423882,0.72061146,0.72231311,0.72030624,0.72030975,0.7214421128809549,0.74587335,0.57191068,0.71285695,0.654614,0.71224864,0.57911942,0.6777901607685394,0.68977753,0.67854061,0.76214085,0.59259897,0.72373562,0.63188009,0.6942162582618875
PCs_feats_percentChunks_text,f0,0.67783329,0.69319688,0.70509608,0.66136712,0.68948371,0.67488656,0.6832404177575059,0.73285389,0.55359184,0.66890652,0.65358298,0.67860377,0.56772,0.6545014816210203,0.70969114,0.61183881,0.62950878,0.69330798,0.65350216,0.63743333,0.6490032956378817
