inputID,measures,speakerDependentPrecision_N,speakerDependentPrecision_I,speakerDependentRecall_N,speakerDependentRecall_I,speakerDependentF1_N,speakerDependentF1_I,speakerDependentAccuracy,oldSplitPrecision_N,oldSplitPrecision_I,oldSplitRecall_N,oldSplitRecall_I,oldSplitF1_N,oldSplitF1_I,oldSplitAccuracy,newSplitPrecision_N,newSplitPrecision_I,newSplitRecall_N,newSplitRecall_I,newSplitF1_N,newSplitF1_I,newSplitAccuracy
ComParE_percentChunks,plp,0.47396487,0.38365501,0.69053356,0.46643718,0.54855192,0.40796233,0.5783134010060633,0.43252707,0.41379963,0.4466463,0.69253803,0.39260827,0.447632,0.460546689402974,0.50048671,0.573055,0.48708217,0.71803626,0.48613438,0.60336535,0.5898399035748715
ComParE_percentChunks,f0,0.48125322,0.38993713,0.69569707,0.47332186,0.55430306,0.41391506,0.5845094664371773,0.33134405,0.34283249,0.45963451,0.62594807,0.36173107,0.37202035,0.4220197584373526,0.10588772,0.49607711,0.23176823,0.78879599,0.14536341,0.49845033,0.4220990747443801
PCs_percentChunks,"f0, hnr",0.6707729,0.66467704,0.65725819,0.67721549,0.66349577,0.67045785,0.6672404887946332,0.68295985,0.48583787,0.64500844,0.54331447,0.64145871,0.47562023,0.5891419845487119,0.62390931,0.57153349,0.67261167,0.51584996,0.63208053,0.51968965,0.584193832481134
PCs_percentChunks,"f0, mfcc",0.70376053,0.71336349,0.72023647,0.69513163,0.71126626,0.70341713,0.7076771895344554,0.69388351,0.55129804,0.74965293,0.49914997,0.70832024,0.49818787,0.6550281522513696,0.65291965,0.59197771,0.66817045,0.57813471,0.65849459,0.58218067,0.6318357896630572
PCs_percentChunks,"f0, plp",0.71521013,0.683508,0.65863158,0.73710098,0.68552069,0.70912398,0.697866666272016,0.69238344,0.52393589,0.73363343,0.48968166,0.69484184,0.47803357,0.6400351303221008,0.65101065,0.59441287,0.71042499,0.52223084,0.67740852,0.55080987,0.6403535548277596
PCs_percentChunks,"f0, hnr, mfcc",0.70494687,0.72274233,0.72814675,0.69337556,0.71437521,0.70524626,0.7107692284923999,0.69792249,0.53744623,0.74022247,0.51564507,0.70282367,0.49539889,0.6461900325791109,0.64168386,0.58875325,0.68325404,0.54362688,0.66012941,0.56249172,0.6259281419571839
PCs_percentChunks,"f0, hnr, plp",0.73759708,0.69396537,0.66277481,0.76360701,0.69780337,0.72683607,0.7131799030047224,0.67999771,0.52337,0.74961627,0.46617525,0.69818162,0.46659547,0.6377213545065428,0.66745382,0.59867604,0.67920593,0.58361789,0.67301337,0.59065865,0.6481657672821797
PCs_percentChunks,hnr,0.67336089,0.64763644,0.61802083,0.69822501,0.64292043,0.67078855,0.6581228735109952,0.70118203,0.51551428,0.63923809,0.59705244,0.61843443,0.46607383,0.5608202393025717,0.62740705,0.57542046,0.66330107,0.52512489,0.62214729,0.51866955,0.5797970704928863
PCs_percentChunks,"hnr, mfcc",0.70989621,0.72040391,0.72435486,0.70404859,0.71630325,0.71143013,0.7142146771584557,0.70543137,0.58603727,0.77800337,0.51611961,0.7246563,0.51696608,0.6723929029382382,0.6428714,0.58713072,0.69392697,0.53407068,0.66593615,0.55711527,0.6284371140030428
PCs_percentChunks,"hnr, plp",0.71200909,0.69014275,0.66998362,0.72884055,0.68923115,0.708143,0.6994143876821621,0.67848896,0.50586726,0.70678263,0.49464673,0.67828973,0.47855787,0.6255497153255166,0.65955896,0.61923725,0.71378548,0.55008718,0.6851049,0.58116765,0.6557927255738683
