,Name,Speaker,Irony,parseltonguef0,reaperf0
329,PPep12_p105_I,P,i,nan,NaN
330,PPep12_p105_I,P,i,nan,NaN
331,PPep12_p105_I,P,i,nan,NaN
332,PPep12_p105_I,P,i,nan,NaN
333,PPep12_p105_I,P,i,nan,NaN
334,PPep12_p105_I,P,i,nan,NaN
335,PPep12_p105_I,P,i,nan,NaN
336,PPep12_p105_I,P,i,184.26797527149904,NaN
337,PPep12_p105_I,P,i,183.65578105037238,NaN
338,PPep12_p105_I,P,i,183.16983563924265,NaN
339,PPep12_p105_I,P,i,182.74496220953844,NaN
340,PPep12_p105_I,P,i,182.34579995110786,NaN
341,PPep12_p105_I,P,i,181.9613447748291,NaN
342,PPep12_p105_I,P,i,181.581374530631,NaN
343,PPep12_p105_I,P,i,181.21079856298434,NaN
344,PPep12_p105_I,P,i,180.85784829956006,NaN
345,PPep12_p105_I,P,i,nan,NaN
346,PPep12_p105_I,P,i,nan,NaN
347,PPep12_p105_I,P,i,nan,NaN
348,PPep12_p105_I,P,i,nan,NaN
349,PPep12_p105_I,P,i,nan,NaN
350,PPep12_p105_I,P,i,nan,NaN
351,PPep12_p105_I,P,i,nan,NaN
352,PPep12_p105_I,P,i,nan,NaN
353,PPep12_p105_I,P,i,nan,NaN
354,PPep12_p105_I,P,i,nan,NaN
355,PPep12_p105_I,P,i,nan,NaN
356,PPep12_p105_I,P,i,nan,NaN
357,PPep12_p105_I,P,i,nan,NaN
358,PPep12_p105_I,P,i,nan,NaN
359,PPep12_p105_I,P,i,nan,NaN
360,PPep12_p105_I,P,i,nan,NaN
361,PPep12_p105_I,P,i,nan,NaN
362,PPep12_p105_I,P,i,nan,84.807693
363,PPep12_p105_I,P,i,35.98348848562748,84.807693
364,PPep12_p105_I,P,i,36.01577657819741,82.739212
365,PPep12_p105_I,P,i,36.04576536595,82.739212
366,PPep12_p105_I,P,i,36.07647437809104,82.739212
367,PPep12_p105_I,P,i,36.108503272813365,75.384613
368,PPep12_p105_I,P,i,36.14258104634278,75.384613
369,PPep12_p105_I,P,i,36.17787896518595,72.413795
370,PPep12_p105_I,P,i,36.21424268799945,72.413795
371,PPep12_p105_I,P,i,nan,72.413795
372,PPep12_p105_I,P,i,nan,75.903618
373,PPep12_p105_I,P,i,nan,75.903618
374,PPep12_p105_I,P,i,nan,75.903618
375,PPep12_p105_I,P,i,nan,69.448822
376,PPep12_p105_I,P,i,nan,69.448822
377,PPep12_p105_I,P,i,nan,69.448822
378,PPep12_p105_I,P,i,nan,67.950691
379,PPep12_p105_I,P,i,nan,67.950691
380,PPep12_p105_I,P,i,350.81890545899495,67.950691
381,PPep12_p105_I,P,i,354.1951538015303,67.638039
382,PPep12_p105_I,P,i,356.5223698993025,67.638039
383,PPep12_p105_I,P,i,358.25930648273305,73.255814
384,PPep12_p105_I,P,i,359.656364969208,73.255814
385,PPep12_p105_I,P,i,360.7759695225915,73.255814
386,PPep12_p105_I,P,i,361.60729784923194,60.245903
387,PPep12_p105_I,P,i,362.04717843759795,60.245903
388,PPep12_p105_I,P,i,361.91187327167955,60.245903
389,PPep12_p105_I,P,i,360.9026241851737,60.245903
390,PPep12_p105_I,P,i,358.73006869645684,60.0
391,PPep12_p105_I,P,i,355.70687210905936,60.0
392,PPep12_p105_I,P,i,353.04877998887,60.0
393,PPep12_p105_I,P,i,nan,72.058823
394,PPep12_p105_I,P,i,nan,72.058823
395,PPep12_p105_I,P,i,nan,72.058823
396,PPep12_p105_I,P,i,nan,72.058823
397,PPep12_p105_I,P,i,nan,72.058823
398,PPep12_p105_I,P,i,nan,80.621574
399,PPep12_p105_I,P,i,nan,80.621574
400,PPep12_p105_I,P,i,nan,80.621574
401,PPep12_p105_I,P,i,nan,77.640846
402,PPep12_p105_I,P,i,nan,77.640846
403,PPep12_p105_I,P,i,nan,94.838707
404,PPep12_p105_I,P,i,nan,94.838707
405,PPep12_p105_I,P,i,nan,94.838707
